id,site,job_url,title,company,location,date_posted,is_remote,job_level,company_url,job_type,description,job_url_direct,interval,currency,company_logo,company_url_direct,company_addresses,company_description,salary_source,min_amount,max_amount,company_num_employees,company_revenue,relevance_score
,wuzzuf,https://wuzzuf.net/jobs/p/etepim3qc4q5-ai-specialist-ai-engineer-tech-technology-cairo-egypt,AI Specialist / AI Engineer,tech technology,"Cairo, Egypt",2026-05-19,False,,,"Full Time, Remote","Job Description
We are looking for an AI Specialist / AI Engineer who is passionate about modern technologies and capable of developing AI-powered solutions to improve operations and build intelligent digital products.
Key Responsibilities:
- Develop, train, and optimize Artificial Intelligence and Machine Learning models.
- Analyze, clean, and prepare data for AI models.
- Build and integrate AI solutions with different systems and applications.
- Monitor, improve, and maintain AI model performance after deployment.
- Work on solutions such as chatbots, OCR, recommendation systems, text analysis, and image analysis.
- Collaborate with software development and product teams to understand requirements and turn them into practical AI solutions.
- Stay updated with the latest AI tools, technologies, and industry trends.
- Strong experience with Python and AI/ML libraries such as TensorFlow, PyTorch, or Scikit-learn.
- Good understanding of NLP, Large Language Models, and Machine Learning.
- Experience working with APIs and databases.
- Basic knowledge of software engineering principles and Git.
- Strong problem-solving and analytical thinking skills.
- Practical AI projects or previous experience in the field are preferred.
Additional Advantages:
- Experience with LangChain or LangGraph.
- Experience working with vector databases such as Qdrant or Redis.
- Experience deploying models using Docker or cloud services.
Job Requirements
- Strong experience with Python and AI/ML libraries such as TensorFlow, PyTorch, or Scikit-learn.
- Good understanding of NLP, Large Language Models, and Machine Learning.
- Experience working with APIs and databases.
- Basic knowledge of software engineering principles and Git.
- Strong problem-solving and analytical thinking skills.
- Practical AI projects or previous experience in the field are preferred.
Additional Advantages:
- Experience with LangChain or LangGraph.
- Experience working with vector databases such as Qdrant or Redis.
- Experience deploying models using Docker or cloud services.",,,,,,,,,,,,,46
li-4412288805,linkedin,https://www.linkedin.com/jobs/view/4412288805,AI Engineer [Computer Vision],Depixen,"London Area, United Kingdom",2026-05-18,False,,https://uk.linkedin.com/company/depixen-sw,,,,,,,,,,,,,,,30
,wuzzuf,https://wuzzuf.net/internship/lnbirag1hs3l-influencer-marketing-intern-egypt-remote-reel2real-dubai-united-arab-emirates,Influencer Marketing Intern - Egypt (Remote),Reel2Real,"Dubai, United Arab Emirates",2026-05-21,True,,,"Internship, Remote","Internship Description
Are you ready to dive headfirst into the dynamic world of digital influence? We're on the hunt for a passionate and driven
Influencer Marketing Intern
to join our innovative remote team, based out of the vibrant hub of
Dubai, United Arab Emirates
. This isn't just an internship; it's a launchpad for your career in a rapidly evolving industry, where your creativity and strategic thinking will directly shape our brand's voice and reach.
As an Influencer Marketing Intern, you'll be at the forefront of identifying, engaging, and nurturing relationships with key influencers who resonate with our brand values. You'll contribute to crafting compelling campaigns that captivate audiences and drive measurable results. If you're eager to learn, enthusiastic about digital trends, and ready to make a tangible impact from day one, we want to hear from you!
Overview:
Immerse yourself in the exciting realm of influencer marketing, gaining hands-on experience in strategy, execution, and analysis. This remote position offers unparalleled flexibility while keeping you connected to a global team.
Responsibilities:
Assist in the research and identification of relevant influencers across various platforms.
Support the development and execution of influencer marketing campaigns from inception to completion.
Monitor campaign performance, gather data, and contribute to reporting and analysis.
Help manage communications and build strong relationships with influencers.
Contribute to content strategy and creative brainstorming sessions for influencer collaborations.
Stay abreast of industry trends, competitor activities, and emerging platforms in influencer and digital marketing.
Support performance marketing initiatives by tracking and optimizing influencer-driven results.
Skills/Technologies:
You'll gain invaluable experience utilizing modern digital marketing tools, data analytics platforms, and social media management systems. Develop expertise in
Influencer Marketing
,
Digital Marketing
, and
Performance Marketing
strategies.
Growth Opportunities:
This internship is designed to provide robust learning experiences, mentorship, and a clear pathway to understanding the intricacies of a thriving digital landscape. Expect significant exposure to real-world campaigns and the chance to convert your potential into tangible career growth.
Team/Culture:
Join a forward-thinking, supportive, and collaborative remote team that values innovation, initiative, and a results-driven approach. We foster an environment where your ideas are heard, and your contributions are celebrated.
Impact:
Your work will directly contribute to expanding our brand's reach, enhancing our online presence, and connecting with new audiences through authentic and engaging influencer partnerships. Prepare to see your efforts make a real difference!
Internship Requirements
Required Skills for Success:
A foundational understanding of
Influencer Marketing
principles.
Familiarity with
Digital Marketing
concepts and strategies.
An eagerness to learn about and contribute to
Performance Marketing
initiatives.
Strong grasp of
Social Media Strategy
and best practices.
A creative eye for
Content Creation
.
Basic understanding of
Data Analysis
to track campaign performance.
Excellent
Communication Skills
, both written and verbal, for engaging with influencers and the team.
Developing
Project Management
abilities to handle multiple tasks effectively.
Curiosity and aptitude for
Market Research
.
A keen interest in driving
Brand Awareness
.
A desire to learn about
Campaign Optimization
.
Emerging skills in
Relationship Building
.
Demonstrated
Time Management
capabilities.
Experience Level:
This is an
Entry Level
opportunity, perfect for individuals with 0-1 years of experience in marketing, communications, or a related field. We're looking for potential and passion!
Career Level Expectations:
As an
Entry Level
intern, you will be expected to bring enthusiasm, a strong desire to learn, and a proactive approach to supporting our marketing initiatives. Your contributions will be guided and mentored, providing a solid foundation for your professional journey.",,,,,,,,,,,,,25
li-4416015896,linkedin,https://www.linkedin.com/jobs/view/4416015896,AI/ML Engineer x 2,Aventis Solutions,"New York, NY",2026-05-17,False,,https://uk.linkedin.com/company/aventissolutions,,,,,,,,,,,,,,,25
li-4416031323,linkedin,https://www.linkedin.com/jobs/view/4416031323,Data Analyst – Power BI & AI Tools,Cleopatra Hospitals Group,"Cairo, Egypt",2026-05-17,False,,https://eg.linkedin.com/company/cleopatra-hospitals-group,,,,,,,,,,,,,,,23
li-4416925340,linkedin,https://www.linkedin.com/jobs/view/4416925340,Junior Machine Learning Engineer,KellyMitchell Group,,2026-05-19,False,,https://www.linkedin.com/company/kelly-mitchell-group-inc,,,,,,,,,,,,,,,20
,wuzzuf,https://wuzzuf.net/jobs/p/zwjkqysq56la-shutter-manufacturing-machine-engineer-libya-wuzzuf-cairo-egypt,Shutter Manufacturing Machine Engineer - Libya,WUZZUF,"Cairo, Egypt",2026-05-21,True,,,"Full Time, On-site","Job Description
Job Overview:
We are seeking two experienced Shutter Manufacturing Machine Operators to join our factory in Benghazi, Libya. The role involves operating advanced aluminum shutter production lines, ensuring product quality, and supporting efficient manufacturing operations.
This position is suitable for candidates with experience in aluminum fabrication, roll forming, or similar industrial production environments.
Job Requirements
Job Requirements
3–5 years experience in manufacturing, preferably in shutter production, aluminum fabrication, or metal forming.
Experience operating industrial or automated production machines.
Strong mechanical and technical knowledge.
Ability to read and understand basic English instructions and machine manuals.
Knowledge of aluminum coil handling and forming processes is preferred.
Ability to troubleshoot machine issues and perform basic maintenance.
Familiarity with PLC systems is an advantage.
Ability to work within a team and support production activities",,,,,,,,,,,,,17
li-4358261093,linkedin,https://www.linkedin.com/jobs/view/4358261093,Data Analyst I,Acorns,,2026-05-21,False,,https://www.linkedin.com/company/acorns-grow-inc-,,,,,,,,,,,,,,,17
,wuzzuf,https://wuzzuf.net/jobs/p/zfuoiv6weqco-fb-cost-controller-riyadh-delta-limited-cairo-egypt,F&B Cost Controller - Riyadh,Delta Limited,"Cairo, Egypt",2026-05-21,False,,,"Full Time, On-site","Job Description
Unleash Your Financial Acumen as an F&B Cost Controller in Vibrant Cairo!
Are you a meticulous financial professional with a passion for the dynamic world of Food & Beverage? Do you thrive on optimizing costs, enhancing profitability, and driving efficiency? We are searching for an exceptional
F&B Cost Controller
to join our team in Cairo, Egypt. This is an unparalleled opportunity to make a tangible impact within a thriving hospitality environment, leveraging your expertise to shape financial success and operational excellence.
Overview:
As our F&B Cost Controller, you will be the financial guardian of our culinary operations, ensuring optimal cost management across all F&B outlets. You will play a pivotal role in maintaining financial integrity, guiding strategic decisions, and contributing directly to the profitability of our enterprise.
Responsibilities:
Your mission will involve a diverse range of critical tasks, including
meticulous menu costing
, robust
inventory management
, and comprehensive
cost control
across all F&B production and service areas. You will be responsible for analyzing financial data, preparing detailed reports, and identifying areas for improvement and efficiency gains. This role demands a proactive approach to monitoring expenses, reconciling discrepancies, and ensuring adherence to budgetary guidelines.
Skills/Technologies:
This role requires a strong command of
ERP Systems
, advanced proficiency in
Microsoft Excel
, and a solid foundation in
Accounting Principles
and
Financial Analysis
. Experience with
Production Planning
and
Supply Chain Management
within a hospitality context will be highly valued.
Growth Opportunities:
We are committed to your professional development. This role offers significant opportunities to expand your expertise in financial strategy, operational efficiency, and team leadership. You will have the chance to implement best practices, influence key financial decisions, and grow within a leading hospitality organization.
Team/Culture:
Join a collaborative, supportive, and energetic team that values innovation, precision, and dedication. We foster an environment where your contributions are recognized and your ideas are encouraged. Work alongside passionate professionals who are committed to delivering exceptional experiences.
Impact:
Your work will directly influence our financial health and operational success. By ensuring stringent cost controls and accurate financial reporting, you will empower management with the insights needed to make informed decisions, ultimately enhancing profitability and guest satisfaction. Your expertise will be instrumental in maintaining our competitive edge in the bustling Cairo market.
Job Requirements
A Bachelor's Degree in Accounting, Finance, Hospitality Management, or a related field
is essential to anchor your financial expertise.
Possess
3-5 years of progressive experience
in a Cost Controller or similar financial role within the Hospitality, Hotels, Food Services, or Logistics/Supply Chain sectors. This is an
Experienced
level role requiring a proven track record.
Mastery of Menu Costing methodologies
, demonstrating your ability to precisely calculate and optimize food and beverage expenses.
Expert-level Inventory Management skills
, including robust stock control, variance analysis, and efficient supply chain practices.
A strong understanding of
Production processes
within F&B, enabling you to identify cost efficiencies from raw materials to finished goods.
Demonstrated excellence in Cost Control principles
, with a history of implementing strategies that reduce waste and improve profitability.
Proficiency with modern
ERP Systems
, leveraging technology to streamline financial operations and reporting.
Solid understanding of
Accounting and Finance principles
, capable of accurate financial reporting and analysis.
Advanced proficiency in Microsoft Excel
, utilizing its full capabilities for data analysis, modeling, and reporting.
Exceptional analytical skills with a keen
Attention to Detail
, ensuring accuracy in all financial records and reports.
Strong communication and interpersonal skills, enabling effective collaboration with operational teams and management.",,,,,,,,,,,,,16
in-a567c04fb0aae469,indeed,https://www.indeed.com/viewjob?jk=a567c04fb0aae469,Instructor of Mathematics (Jonesboro),Arkansas State University - Newport,"Newport, AR, US",2026-05-21,True,,https://www.indeed.com/cmp/Arkansas-State-University---Newport,,"**Instructor of Mathematics (Jonesboro)**  

**Location:** Jonesboro  

**Job Code:** 402  

**\# of Openings:** 1  

  

**Instructor of Mathematics (Jonesboro Campus)**  

  

**Arkansas State University\-Newport**  

  

**POSITION SUMMARY**  

The Instructor of Mathematics provides effective instruction in the areas of mathematics and facilitates meaningful learning of the course competencies and proactively supports all facets of the learning environment.  

  

**ESSENTIAL DUTIES AND RESPONSIBILITIES**  

  

Prepare and deliver lectures to ASUN students in the areas of Mathematics that encompasses Math Fundamentals, College Algebra, Quantitative Literacy, Technical Math, Survey of Calculus, Calculus I, and related courses at the college level.  

  

Provide instruction on multiple campuses within the ASU Newport system. This position will be housed in Jonesboro but may require travel to Newport and Marked Tree campus locations.  

  

Facilitate effective learning of mathematical principles, assessing and evaluating student proficiency with desired course learning outcomes.  

  

Learn to effectively use ASUN instructional platforms, software, and educational design strategies to create an active, engaging learning experience for students of all ability levels.  

  

Ability to provide instruction to learners of all ages and abilities, from high school to advanced math learners.  

  

Prepare course materials such as syllabi, homework assignments, and handouts.  

  

Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction for both traditional classroom and online formats.  

  

Develop, coordinate, and maintain a successful Developmental Education program in Mathematics.  

  

Maintain student attendance records, grades, and other required records.  

  

Initiate, facilitate, and moderate classroom discussions.  

  

Participates in conferences, seminars, and training sessions to keep abreast of developments in the field of study and integrate relevant information into instruction.  

  

Maintains accessibility to students via email, phone, or personal conferences. Maintains course/student records such as student grades, attendance, and training activity details
  

in accordance with FERPA regulations and submit records by established deadlines.  

  

Keeps a flexible weekly schedule that best facilitates student learning and access.  

  

Remains current in academic or program discipline, including maintaining licensure, certification, or continuing education requirements where appropriate. Receives training or stays current in advances within the field of study that promote student learning.  

  

Participate in college professional development activities and community events.  

  

Helps students identify and achieve their educational goals through participating in the college's advising process, as well as providing incidental academic advice to students in classes.  

  

Posts and keeps office hours to facilitate interaction with students, the college community, and the public.  

  

Serves on standing ad hoc committees, advisory boards, hiring committees, faculty senate, or as a student organization advisor. Attends local, regional, state, or national meetings where required or necessary for the discipline.  

  

Mentors and assists in orienting new faculty, either formally or informally where appropriate or required by department or division.  

  

Attends commencement or other ceremonies appropriate to the faculty member's discipline or program. Attend departmental, divisional, and college\-wide meetings where appropriate or as required by supervisor. Performs other academically related duties as assigned by instructor's supervisor.  

  

Perform any other related duties as required or assigned.  

  

**ADDITIONAL RESPONSIBILITIES**  

When an individual accepts a teaching appointment at the college, he or she also accepts responsibilities and obligations as a professional educator. Under the supervision of the Division Dean, the faculty has as their chief duty the instruction of assigned classes. These duties take precedence over all others. In addition to their teaching responsibilities, faculty should assume responsibility for professional development, service to the college, and other duties as assigned by their supervisors. They are also obligated to abide by and support College policies. Faculty must be committed to the learning college philosophy as well as the goals and objectives of the university.
  

Each semester's instructional load will be assigned by the faculty member's supervisor, which will be determined by the nature of the position, the needs of the department, and workload guidelines established by college policy. Evening, weekends, as well as on\-line instruction may be required.
  

Development of and participation in special college projects, development of new instructional techniques, development of an assessment plan in the discipline, student advising, and participation in other college and community service activities consistent with the mission of the college.  

  

**QUALIFICATIONS**  

Potential candidates should be able to instruct courses in Mathematics appropriate to the two\-year college level. To perform this job successfully, an individual must be able to perform each essential duty mentioned satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.  

  

**EDUCATION AND EXPERIENCE**  

Minimum requirements include a Master's Degree with 18 semester credit hours in the major area of concentration and a Doctorate is preferred. Experience in the use of instructional technology and on\-line coursework as well as previous educational teaching experience is desirable. Prior experience with developmental mathematics instruction is a plus.  

  

**COMMUNICATION SKILLS**  

Strong communication skills are required. Ability to write reports, correspondence, and policy/procedure manuals so others will understand; Ability to effectively present information and respond to questions from groups of students, faculty, administration or the general public. The ability to speak clearly so others can understand your instruction.  

  

**RESPONSIBILITY FOR FUNDS, PROPERTY and EQUIPMENT**  

Shares responsibility for the maintenance and upkeep of departmental resources. .  

  

**SUPERVISORY RESPONSIBILITIES**  

None.  

  

**MATHEMATICAL SKILLS**  

Knowledge of arithmetic, algebra, statistics, advanced math, and mathematical applications in the real world.  

  

**CRITICAL THINKING SKILLS**  

Ability to solve practical problems and deal with a variety of known variables in situations where only limited standardization exists. Ability to interpret a variety of instructions furnished in written, oral, or diagram formats.  

  

**SUPERVISION RECEIVED**  

Under general direction, working from policies and general directives. Rarely refers specific cases to supervisor unless clarification or interpretation of the organization's policy is required.  

  

**PLANNING**  

Considerable responsibility with regard to general assignments in planning time, method, manner, and/or sequence of performance of own work, in addition, the work operations of a group of students.  

  

**DECISION MAKING**  

Performs work operations which permit frequent opportunity for decision\-making of minor importance and also frequent opportunity for decision\-making of major importance, either of which would affect the work operations of small organizational component and the organization's clientele.  

  

**MENTAL DEMAND**  

Operations requiring close and continuous attention for control of operations. Operations requiring intermittent direct thinking to determine or select the most applicable way of handling situations regarding the organization's administration and operations; also, to determine or select material and equipment where highly variable sequences are involved.  

  

**ANALYTICAL ABILITY / PROBLEM SOLVING**  

Moderately structured. Fairly broad activities using moderately structured procedures with only generally guided supervision. Interpolation of learned things in somewhat varied situations.  

  

**USE OF MACHINES, EQUIPMENT AND/OR COMPUTERS**  

Regular use instructional equipment as well as office equipment (desktop/laptop computer and software)  

  

**ACCURACY**  

Not indicated.  

  

**PUBLIC CONTACT**  

Regular contacts with students. Involves both furnishing and obtaining information.  

  

**EMPLOYEE CONTACT**  

Regular contact with other college employees at all levels within the organization.  

  

**REQUIRED CERTIFICATES, LICENSES, REGISTRATIONS**  

Not Indicated.  

  

**PREFERRED CERTIFICATES, LICENSES, REGISTRATIONS**  

Not Indicated  

  

**SOFTWARE SKILLS REQUIRED**  

Intermediate: Word Processing/Typing, Spreadsheet  

Basic: Alphanumeric Data Entry, Database, Presentation/PowerPoint, LMS online learning software.  

  

**PHYSICAL ACTIVITIES**  

The following physical activities described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions and expectations.  

  

While performing the functions of this job, the employee is continuously required to talk or hear; regularly required to stand; frequently required to walk, sit, use hands to finger, handle, or feel, reach with hands and arms; and occasionally required to climb or balance.  

  

The employee must occasionally lift and/or move up to 15 pounds. Specific vision abilities required by this job include close vision.  

  

**ENVIRONMENTAL CONDITIONS**  

There are potentially harmful environmental conditions that could be present in laboratory settings. Some equipment may be hazardous.  

  

The noise level in the work environment is usually low to moderate.  

  

**To apply, please visit** **https://phe.tbe.taleo.net/phe03/ats/careers/v2/viewRequisition?org\=ASUN\&cws\=37\&rid\=402**  

  

jeid\-f4f357a6fe48e244a7a40593f72797c0",https://apptrkr.com/7178586,,,,,,,,,,,,16
